Year,Austria,Belgium,Denmark,Finland,France,Germany,Greece,Iceland,Ireland,Italy,Luxembourg,Netherlands,Norway,Portugal,Spain,Sweden,Switzerland,United Kingdom
1960,6650133915.0,11810619368.0,6361166313.0,5279011362.0,62225478001.0,84310950194.0,4335191696.0,252169712.0,1998550222.0,41915814948.0,709941874.0,13263458995.0,5197398721.0,3339150158.0,12433394725.0,15953203853.0,10412232621.0,73233967692.0
1961,7375454614.0,12561701694.0,7058360972.0,5983900493.0,67461644222.0,96205728658.0,4961399303.0,257703244.6,2151772980.0,46542216715.0,710163719.4,14578381188.0,5669689210.0,3573719085.0,14248303793.0,17354781171.0,11713348834.0,77741965703.0
1962,7823686765.0,13436827167.0,7953274452.0,6407225035.0,75607529810.0,105509000000.0,5213043168.0,289200704.4,2329372972.0,52293346805.0,747846862.2,15824293506.0,6107076929.0,3835883663.0,16621504913.0,18821353529.0,12989649694.0,81247564157.0
1963,8447136820.0,14445805381.0,8466044672.0,6958296429.0,84759195106.0,111823000000.0,5895281432.0,345175036.1,2505073358.0,59897871868.0,797902154.2,17168477020.0,6553269536.0,4084251593.0,19645746986.0,20371666154.0,14283872299.0,86561961812.0
1964,9249879079.0,16168044450.0,9677400985.0,7848288358.0,94007851047.0,122880000000.0,6669669850.0,440797869.3,2851091646.0,65569646710.0,910877686.3,20202316519.0,7206522122.0,4429202657.0,21982577365.0,22718426804.0,15833133858.0,94407558351.0
1965,10081145818.0,17597783297.0,10870670470.0,8679620317.0,101537000000.0,134283000000.0,7689148374.0,531569563.9,3035655794.0,70554398250.0,929477284.8,22688478855.0,8111945661.0,4901711248.0,25497831759.0,25000191834.0,16780226225.0,101825000000.0
1966,10982543233.0,18894891312.0,11931739859.0,9305312888.0,110046000000.0,142781000000.0,8591522487.0,638349755.2,3198820904.0,76446251295.0,976717015.5,24705121842.0,8753940267.0,5370108031.0,29580564480.0,27194141951.0,18019402374.0,108573000000.0
1967,11680319625.0,20252508995.0,13059064375.0,9467428626.0,118973000000.0,144571000000.0,9275600800.0,630567115.8,3445739915.0,84207912986.0,983052314.9,27103938851.0,9577383653.0,6002607030.0,32594186212.0,29517675437.0,19397044714.0,113117000000.0
1968,12549016579.0,21654856965.0,13505573867.0,8915770473.0,129785000000.0,155956000000.0,10090674767.0,481532847.6,3378701147.0,91275077145.0,1075561623.0,30053405731.0,10227087165.0,6644693214.0,32417481065.0,31323283317.0,20712102794.0,107760000000.0
1969,13701141219.0,24019653475.0,15414902267.0,10176617905.0,141903000000.0,177085000000.0,11615655895.0,420945147.6,3902721632.0,100764000000.0,1245432991.0,34035946909.0,11136187440.0,7287555035.0,37117200724.0,34016617942.0,22442043274.0,116465000000.0
1970,15373005557.0,26706196047.0,17075457600.0,11357516988.0,148456000000.0,215838000000.0,13139863636.0,526704545.5,4395995086.0,113395000000.0,1457768455.0,38164716625.0,12814123115.0,8108235704.0,40992995008.0,38092452061.0,24998066773.0,130672000000.0
1971,17858486067.0,29821661870.0,19085731252.0,12527405513.0,165967000000.0,249985000000.0,14591750000.0,670251136.4,5098250287.0,124672000000.0,1518773421.0,44579122807.0,14583114840.0,9201604240.0,46619420359.0,41566412923.0,30040171751.0,148114000000.0
